sample_id,negative_type,gene_ids,target_size,actual_size,seed,split,source_pathway_id,source_database,source_family,source_pathway_id_1,source_pathway_id_2,source_pathway_id_3,source_family_1,source_family_2,source_family_3,kept_fraction,replaced_fraction,replacement_fraction,n_kept,n_replaced,contribution_fraction_1,contribution_fraction_2,contribution_fraction_3,random_fill_count,max_overlap_with_curated,closest_curated_pathway
TRAIN_NEG_seed42_empirical_size_matched_random_0010,empirical_size_matched_random,"AT1G80610,AT2G43750,AT3G48520,AT4G14900,AT4G37450,AT5G43401",6,6,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16666666666666666,AC_PWY-1121
TRAIN_NEG_seed42_empirical_size_matched_random_0011,empirical_size_matched_random,"AT1G16790,AT1G26790,AT1G71866,AT2G09388,AT2G38300,AT2G48140,AT3G15840,AT4G08510,AT4G33250,AT5G02770,AT5G54180,AT5G57815,AT5G66850",13,13,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.07692307692307693,ath00190
TRAIN_NEG_seed42_empirical_size_matched_random_0012,empirical_size_matched_random,"AT1G11760,AT1G57540,AT1G59930,AT1G61093,AT1G73910,AT2G47800,AT3G47610,AT4G08874,AT4G37170,AT5G48820",10,10,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0,
TRAIN_NEG_seed42_empirical_size_matched_random_0013,empirical_size_matched_random,"AT1G02280,AT1G14730,AT1G65520,AT1G72020,AT1G73510,AT2G28350,AT3G10300,AT3G12410,AT3G22360,AT3G22500,AT3G27400,AT3G61550",12,12,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_PWY-5137
TRAIN_NEG_seed42_empirical_size_matched_random_0014,empirical_size_matched_random,"AT1G60300,AT1G65120,AT3G13100,AT3G19760,AT3G25840,AT4G23930,AT4G37409",7,7,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14285714285714285,ath03013
TRAIN_NEG_seed42_empirical_size_matched_random_0015,empirical_size_matched_random,"AT1G01780,AT1G02560,AT1G03370,AT1G06210,AT1G08710,AT1G12950,AT1G15840,AT1G16445,AT1G21480,AT1G22450,AT1G23050,AT1G26290,AT1G26798,AT1G27320,AT1G27360,AT1G27990,AT1G30210,AT1G31080,AT1G31320,AT1G31817,AT1G31880,AT1G32230,AT1G33790,AT1G43920,AT1G44224,AT1G44760,AT1G48970,AT1G49400,AT1G51380,AT1G52810,AT1G54390,AT1G58602,AT1G61720,AT1G64670,AT1G64830,AT1G65660,AT1G65890,AT1G71200,AT1G71810,AT1G73350,AT1G76370,AT1G78160,AT1G79880,AT1G79930,AT1G80240,AT1G80600,AT2G01590,AT2G03840,AT2G04780,AT2G05540,AT2G07736,AT2G07827,AT2G16120,AT2G16260,AT2G16520,AT2G17850,AT2G20815,AT2G24000,AT2G24460,AT2G25570,AT2G28470,AT2G28950,AT2G33390,AT2G35000,AT2G40690,AT2G41300,AT2G42160,AT2G42395,AT2G43450,AT2G44190,AT2G47610,AT3G02660,AT3G02890,AT3G03070,AT3G04350,AT3G05010,AT3G06385.1,AT3G06483,AT3G07380,AT3G11090,AT3G11210,AT3G11340,AT3G12360,AT3G13677,AT3G13760,AT3G15170,AT3G16580,AT3G17840,AT3G18850,AT3G19340,AT3G19960,AT3G22920,AT3G23830,AT3G23940,AT3G28480,AT3G31900,AT3G43410,AT3G44970,AT3G51500,AT3G54350,AT3G54410,AT3G57950,AT3G57980,AT3G60030,AT3G61060,AT3G63050,AT4G03580,AT4G08780,AT4G09120,AT4G15320,AT4G16845,AT4G17010,AT4G18905,AT4G19730,AT4G20110,AT4G20780,AT4G21520,AT4G25430,AT4G28350,AT4G29400,AT4G31730,AT4G32342,AT4G34900,AT4G36860,AT5G03680,AT5G09370,AT5G11160,AT5G12280,AT5G13220,AT5G13490,AT5G14240,AT5G14420,AT5G16023,AT5G16750,AT5G17290,AT5G22650,AT5G23411,AT5G26630,AT5G27450,AT5G39170,AT5G39800,AT5G42635,AT5G45275,AT5G45573,AT5G47090,AT5G47850,AT5G49015,AT5G53040,AT5G54140,AT5G55310,AT5G56450,AT5G57060,AT5G60820,AT5G61290,AT5G62750,AT5G65320",156,156,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_PWY-6118
TRAIN_NEG_seed42_empirical_size_matched_random_0016,empirical_size_matched_random,"AT1G77000,AT2G47920,AT3G03040,AT3G10185,AT3G25070,AT5G22060,AT5G67020",7,7,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14285714285714285,ath04120
TRAIN_NEG_seed42_empirical_size_matched_random_0017,empirical_size_matched_random,"AT1G80110,AT2G03870,AT2G17030,AT2G40420,AT5G65290",5,5,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,ath03018
TRAIN_NEG_seed42_empirical_size_matched_random_0018,empirical_size_matched_random,"AT1G07640,AT1G21710,AT1G27950,AT1G55940,AT1G59077,AT1G63030,AT1G79040,AT3G06340,AT3G21520,AT3G51230,AT4G04220,AT5G16740,AT5G27010,AT5G45680,AT5G46220,AT5G53380",16,16,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0625,AC_TRIGLSYN-PWY
TRAIN_NEG_seed42_empirical_size_matched_random_0019,empirical_size_matched_random,"AT1G03365,AT1G08120,AT1G08420,AT1G09420,AT1G13520,AT1G13860,AT1G16750,AT1G18170,AT1G20800,AT1G21910,AT1G23910,AT1G25520,AT1G27260,AT1G32610,AT1G32960,AT1G33680,AT1G34150,AT1G34360,AT1G49480,AT1G51210,AT1G51650,AT1G53210,AT1G53720,AT1G55430,AT1G58684,AT1G68500,AT1G68580,AT1G69620,AT1G71692,AT1G71830,AT1G73980,AT1G80330,AT2G02520,AT2G04190,AT2G13550,AT2G16510,AT2G17470,AT2G22630,AT2G22680,AT2G23550,AT2G26120,AT2G26920,AT2G35600,AT2G39660,AT2G44525,AT3G14310,AT3G15980,AT3G21351,AT3G22890,AT3G27880,AT3G44200,AT3G45275,AT3G47930,AT3G48760,AT3G52280,AT3G53050,AT3G57990,AT3G62160,AT3G62890,AT4G00850,AT4G04860,AT4G06225.1,AT4G14580,AT4G20070,AT4G20953,AT4G22820,AT4G25450,AT4G26130,AT4G26190,AT4G30000,AT4G30050,AT4G33870,AT4G36795,AT4G37210,AT4G38350,AT4G39510,AT5G03280,AT5G03905,AT5G05720,AT5G09445,AT5G09540,AT5G14140,AT5G18250,AT5G18830,AT5G26650,AT5G27660,AT5G32450,AT5G32619,AT5G33406,AT5G40670,AT5G41790,AT5G43175,AT5G44410,AT5G47090,AT5G48595,AT5G48890,AT5G49945,AT5G52150,AT5G55990,AT5G59750,AT5G59840,AT5G66850",102,102,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16666666666666666,AC_PWY-5340
TRAIN_NEG_seed42_empirical_size_matched_random_0020,empirical_size_matched_random,"AT1G51930,AT1G67780,AT2G32360,AT2G36730,AT3G28670,AT5G06040,AT5G12870,AT5G59710",8,8,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.125,ath03018
TRAIN_NEG_seed42_empirical_size_matched_random_0021,empirical_size_matched_random,"AT1G04410,AT1G06090,AT1G07250,AT1G11591,AT1G14205,AT1G16860,AT1G17120,AT1G23840,AT1G27180,AT1G29060,AT1G29300,AT1G30670,AT1G33600,AT1G48910,AT1G51410,AT1G53830,AT1G54385,AT1G55080,AT1G59359,AT1G60913,AT1G61080,AT1G62880,AT1G68520,AT1G71240,AT1G72645,AT1G74580,AT1G78210,AT2G07636,AT2G07713,AT2G18750,AT2G31345,AT2G36305,AT2G37380,AT2G43270,AT3G04000,AT3G07730,AT3G11530,AT3G27100,AT3G28360,AT3G30720,AT3G44280,AT3G45150,AT3G52730,AT3G55660,AT3G56290,AT3G56830,AT4G05090,AT4G10060,AT4G15640,AT4G22340,AT4G22430,AT4G23020,AT4G23040,AT4G23930,AT4G27620,AT4G33590,AT4G37022,AT4G37880,AT5G02510,AT5G09790,AT5G17770,AT5G20910,AT5G26850,AT5G37980,AT5G43270,AT5G51040,AT5G52260,AT5G54745,AT5G57180,AT5G58650,AT5G64950",71,71,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1267605633802817,ath01100
TRAIN_NEG_seed42_empirical_size_matched_random_0022,empirical_size_matched_random,"AT1G02310,AT1G05065,AT1G11190,AT1G19800,AT1G24764,AT1G32240,AT1G52230,AT1G68795,AT1G73370,AT2G05830,AT2G13630,AT2G33700,AT2G33830,AT2G35210,AT2G45530,AT3G01040,AT3G03010,AT3G04850,AT3G06220,AT3G07450,AT3G12590,AT3G12860,AT3G13930,AT3G47350,AT3G56490,AT3G58430,AT3G60080,AT4G03110,AT4G09440,AT4G10843,AT4G13550,AT4G26200,AT4G31620,AT5G07770,AT5G12970,AT5G14700,AT5G20300,AT5G40570,AT5G62090,AT5G64670,AT5G66240",41,41,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14634146341463414,ath01100
TRAIN_NEG_seed42_empirical_size_matched_random_0023,empirical_size_matched_random,"AT1G01453,AT1G03150,AT1G12520,AT1G22910,AT1G29550,AT1G79870,AT1G79950,AT2G19570,AT2G22190,AT2G29300,AT2G33655,AT2G39030,AT2G40080,AT3G05280,AT3G13390,AT3G14430,AT3G16555,AT3G18100,AT3G48300,AT3G61830,AT4G02500,AT4G09800,AT4G16140,AT4G21910,AT4G23895,AT4G29780,AT4G30740,AT5G02690,AT5G09960,AT5G28885,AT5G38880,AT5G41320,AT5G49130,AT5G49700,AT5G52400,AT5G52710,AT5G52970,AT5G55890,AT5G56240",39,39,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_PWY-5049
TRAIN_NEG_seed42_empirical_size_matched_random_0024,empirical_size_matched_random,"AT1G09570,AT1G12650,AT1G56720,AT1G71520,AT2G04037,AT2G13500,AT2G18560,AT2G21870,AT3G11630,AT4G14147,AT4G26145,AT4G30010,AT4G36900,AT5G22060,AT5G22555,AT5G24970,AT5G43770,AT5G56160",18,18,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.07142857142857142,AC_PWY-5125
TRAIN_NEG_seed42_empirical_size_matched_random_0025,empirical_size_matched_random,"AT1G03670,AT1G06230,AT1G15150,AT1G22690,AT1G70270,AT2G04378,AT3G29400,AT4G13266",8,8,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0,
TRAIN_NEG_seed42_empirical_size_matched_random_0026,empirical_size_matched_random,"AT1G36640,AT1G77540,AT2G07775,AT2G18130,AT3G18460,AT3G25710,AT3G62160,AT5G10040,AT5G26673,AT5G41950,AT5G61060",11,11,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.09090909090909091,AC_PWY-6348
TRAIN_NEG_seed42_empirical_size_matched_random_0027,empirical_size_matched_random,"AT1G02000,AT1G47210,AT1G68310,AT2G21540,AT2G34238,AT3G03640,AT3G26780,AT4G23230,AT5G12150",9,9,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2222222222222222,ath01100
TRAIN_NEG_seed42_empirical_size_matched_random_0028,empirical_size_matched_random,"AT1G60790,AT1G76620,AT2G01740,AT2G07672,AT2G35690,AT2G44000,AT3G17680,AT3G20370,AT3G46440,AT3G48500,AT3G49630,AT3G49790,AT3G52170,AT3G53930,AT3G57590,AT4G03470,AT4G12170,AT4G33330,AT5G24690,AT5G42380,AT5G46530,AT5G55550,AT5G67400",23,23,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13043478260869565,ath01100
TRAIN_NEG_seed42_empirical_size_matched_random_0029,empirical_size_matched_random,"AT1G01184,AT1G04650,AT1G07050,AT1G08113.1,AT1G10890,AT1G12150,AT1G16120,AT1G16240,AT1G17290,AT1G24475,AT1G24909,AT1G25550,AT1G28670,AT1G32660,AT1G34046,AT1G34840,AT1G35440,AT1G42440,AT1G44170,AT1G44940,AT1G45201,AT1G47330,AT1G49200,AT1G49480,AT1G51220,AT1G55080,AT1G59810,AT1G62310,AT1G62560,AT1G62914,AT1G64260,AT1G65342,AT1G65770,AT1G67110,AT1G67720,AT1G76590,AT1G78190,AT1G79560,AT1G80030,AT1G80570,AT2G02620,AT2G03450,AT2G04842,AT2G19230,AT2G22500,AT2G23530,AT2G25295,AT2G31305,AT2G33030,AT2G34185,AT2G34680,AT2G35100,AT2G38830,AT2G40320,AT2G40570,AT2G43640,AT2G45600,AT2G46550,AT3G01900,AT3G02220,AT3G02460,AT3G06270,AT3G06370,AT3G11030,AT3G11385,AT3G15410,AT3G18360,AT3G18720,AT3G19410,AT3G19690,AT3G19970,AT3G20900,AT3G22080,AT3G23470,AT3G24450,AT3G29380,AT3G32090,AT3G33187,AT3G43682,AT3G47520,AT3G48290,AT3G48850,AT3G49990,AT3G50520,AT3G51920,AT3G52240,AT3G56990,AT3G60510,AT3G61090,AT3G62920,AT4G01260,AT4G05060,AT4G10457,AT4G11930,AT4G22750,AT4G24644,AT4G25590,AT4G26350,AT4G26970,AT4G30097,AT4G32210,AT4G34670,AT4G34881,AT5G03850,AT5G05450,AT5G05730,AT5G07140,AT5G08750,AT5G09210,AT5G10160,AT5G11620,AT5G13070,AT5G16920,AT5G18610,AT5G21920,AT5G22720,AT5G22990,AT5G26080,AT5G26630,AT5G28462,AT5G33320,AT5G35100,AT5G36680,AT5G38640,AT5G40280,AT5G40290,AT5G41040,AT5G41270,AT5G42765,AT5G44860,AT5G45950,AT5G46440,AT5G50423,AT5G52480,AT5G55220,AT5G55650,AT5G56000,AT5G56020,AT5G57970,AT5G58280,AT5G59100,AT5G62270,AT5G62570,AT5G63180,AT5G64840,AT5G64970",146,146,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_PWY-7120
TRAIN_NEG_seed42_empirical_size_matched_random_0030,empirical_size_matched_random,"AT1G24145,AT1G55750,AT1G59890,AT1G64770,AT2G04842,AT2G22320,AT2G41680,AT3G07610,AT3G22950,AT3G58530,AT3G60966,AT4G08485,AT4G14920,AT4G19710,AT5G07100,AT5G12043,AT5G18200,AT5G23610,AT5G27945,AT5G37870,AT5G42310,AT5G60970",22,22,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16666666666666666,AC_HOMOSERSYN-PWY
TRAIN_NEG_seed42_empirical_size_matched_random_0031,empirical_size_matched_random,"AT1G24350,AT2G01360,AT2G07565,AT4G03190,AT5G18560",5,5,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,ath04075
TRAIN_NEG_seed42_empirical_size_matched_random_0032,empirical_size_matched_random,"AT1G04780,AT2G23950,AT2G40095,AT3G29575,AT4G05230,AT4G10170,AT4G14147,AT4G37390,AT5G10435,AT5G49930",10,10,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,AC_PWY-1782
TRAIN_NEG_seed42_empirical_size_matched_random_0033,empirical_size_matched_random,"AT1G31520,AT1G33530,AT1G42680,AT1G47845,AT1G52420,AT1G55000,AT1G63650,AT1G72940,AT1G79180,AT2G07636,AT2G07641,AT2G34100,AT2G35610,AT2G36724,AT2G40960,AT2G47210,AT3G07530,AT3G07770,AT3G10390,AT3G18660,AT3G19055,AT3G21200,AT3G33293,AT3G44555,AT3G54910,AT3G57240,AT3G57670,AT3G58220,AT4G05130,AT4G33905,AT5G03390,AT5G05120,AT5G24140,AT5G24430,AT5G25870,AT5G60260,AT5G61720,AT5G62000",38,38,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1111111111111111,AC_PWY-5670
TRAIN_NEG_seed42_empirical_size_matched_random_0034,empirical_size_matched_random,"AT1G02770,AT1G12665,AT1G34130,AT1G48140,AT1G66340,AT1G74850,AT2G40530,AT3G21175,AT4G38670,AT5G11450,AT5G15560,AT5G42110,AT5G44575,AT5G61810",14,14,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14285714285714285,ath00510
TRAIN_NEG_seed42_empirical_size_matched_random_0035,empirical_size_matched_random,"AT1G11684,AT1G27400,AT1G31990,AT1G49910,AT1G52900,AT2G02060,AT2G27229,AT2G36026,AT2G41180,AT2G46980,AT3G27950,AT3G47590,AT3G50170,AT4G18710,AT4G23550,AT5G16290",16,16,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14285714285714285,ath00660
TRAIN_NEG_seed42_empirical_size_matched_random_0036,empirical_size_matched_random,"AT1G04280,AT1G11910,AT1G12663,AT1G14230,AT1G29270,AT1G33830,AT1G34807,AT1G47590,AT1G49100,AT1G51600,AT1G51890,AT1G63970,AT1G70690,AT1G72740,AT1G73790,AT2G04910,AT2G07440,AT2G17310,AT2G21770,AT2G28800,AT2G30550,AT2G34920,AT2G37140,AT2G40060,AT2G41470,AT2G45110,AT2G46130,AT2G46950,AT3G14540,AT3G26470,AT3G27520,AT3G33293,AT3G45450,AT3G45500,AT3G45840,AT3G46160,AT3G49440,AT3G49600,AT3G52526,AT4G03490,AT4G08874,AT4G09550,AT4G09750,AT4G16165,AT4G24980,AT4G30310,AT4G32000,AT4G37440,AT4G39810,AT5G02710,AT5G06450,AT5G10890,AT5G11060,AT5G36690,AT5G37760,AT5G43950,AT5G51850,AT5G53610,AT5G60710,AT5G62360,AT5G63700,AT5G64280",62,62,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_PWY-8148
